"","Reservation_number","ave_price","cancled_rate","Time","m","t","Group"
"63",122,92.83,15.57,0.976019295726583,7,2015-07-01,"2015-July"
"74",93,82.21,61.29,0.976078031918178,7,2015-07-02,"2015-July"
"85",56,97.18,33.93,0.976136768109772,7,2015-07-03,"2015-July"
"88",88,85.58,48.86,0.976195504301367,7,2015-07-04,"2015-July"
"89",53,100,30.19,0.976254240492962,7,2015-07-05,"2015-July"
"90",75,90.46,45.33,0.976312976684556,7,2015-07-06,"2015-July"
"91",54,92.58,46.3,0.976371712876151,7,2015-07-07,"2015-July"
"92",69,79.99,34.78,0.976430449067745,7,2015-07-08,"2015-July"
"93",80,80.65,63.75,0.97648918525934,7,2015-07-09,"2015-July"
"64",51,112,17.65,0.976547921450934,7,2015-07-10,"2015-July"
"65",103,98.87,40.78,0.976606657642529,7,2015-07-11,"2015-July"
"66",63,110.42,41.27,0.976665393834123,7,2015-07-12,"2015-July"
"67",84,97.8,53.57,0.976724130025718,7,2015-07-13,"2015-July"
"68",35,110.64,31.43,0.976782866217312,7,2015-07-14,"2015-July"
"69",102,98.32,47.06,0.976841602408907,7,2015-07-15,"2015-July"
"70",103,98.44,60.19,0.976900338600502,7,2015-07-16,"2015-July"
"71",151,107.07,29.8,0.976959074792096,7,2015-07-17,"2015-July"
"72",155,92.61,50.32,0.977017810983691,7,2015-07-18,"2015-July"
"73",54,122.97,33.33,0.977076547175285,7,2015-07-19,"2015-July"
"75",125,103.57,57.6,0.97713528336688,7,2015-07-20,"2015-July"
"76",71,98.4,61.97,0.977194019558474,7,2015-07-21,"2015-July"
"77",127,79.23,66.14,0.977252755750069,7,2015-07-22,"2015-July"
"78",125,92.05,47.2,0.977311491941663,7,2015-07-23,"2015-July"
"79",64,138.42,23.44,0.977370228133258,7,2015-07-24,"2015-July"
"80",204,87.32,50.49,0.977428964324852,7,2015-07-25,"2015-July"
"81",47,125.72,31.91,0.977487700516447,7,2015-07-26,"2015-July"
"82",170,92.06,57.06,0.977546436708042,7,2015-07-27,"2015-July"
"83",34,109.15,17.65,0.977605172899636,7,2015-07-28,"2015-July"
"84",50,118.45,32,0.977663909091231,7,2015-07-29,"2015-July"
"86",99,99.37,58.59,0.977722645282825,7,2015-07-30,"2015-July"
"87",69,132.14,26.09,0.97778138147442,7,2015-07-31,"2015-July"
"1",110,141.16,45.45,0.977840117666014,8,2015-08-01,"2015-August"
"12",50,138.09,14,0.977898853857609,8,2015-08-02,"2015-August"
"23",183,89.51,60.11,0.977957590049203,8,2015-08-03,"2015-August"
"26",51,129.6,23.53,0.978016326240798,8,2015-08-04,"2015-August"
"27",154,76.95,41.56,0.978075062432393,8,2015-08-05,"2015-August"
"28",75,97.81,36,0.978133798623987,8,2015-08-06,"2015-August"
"29",133,96.51,42.11,0.978192534815582,8,2015-08-07,"2015-August"
"30",206,99.97,48.54,0.978251271007176,8,2015-08-08,"2015-August"
"31",85,137.69,16.47,0.978310007198771,8,2015-08-09,"2015-August"
"2",207,102.92,38.16,0.978368743390365,8,2015-08-10,"2015-August"
"3",117,114.04,23.93,0.97842747958196,8,2015-08-11,"2015-August"
"4",133,90.59,37.59,0.978486215773554,8,2015-08-12,"2015-August"
"5",107,109.53,50.47,0.978544951965149,8,2015-08-13,"2015-August"
"6",329,106.32,63.83,0.978603688156743,8,2015-08-14,"2015-August"
"7",190,107.27,46.84,0.978662424348338,8,2015-08-15,"2015-August"
"8",98,141.59,24.49,0.978721160539933,8,2015-08-16,"2015-August"
"9",188,101.33,42.55,0.978779896731527,8,2015-08-17,"2015-August"
"10",94,120.57,27.66,0.978838632923122,8,2015-08-18,"2015-August"
"11",66,118.2,12.12,0.978897369114716,8,2015-08-19,"2015-August"
"13",110,95.47,45.45,0.978956105306311,8,2015-08-20,"2015-August"
"14",75,131.97,17.33,0.979014841497905,8,2015-08-21,"2015-August"
"15",139,116.51,42.45,0.9790735776895,8,2015-08-22,"2015-August"
"16",79,134.81,21.52,0.979132313881094,8,2015-08-23,"2015-August"
"17",153,100,45.1,0.979191050072689,8,2015-08-24,"2015-August"
"18",126,89.82,46.83,0.979249786264283,8,2015-08-25,"2015-August"
"19",122,81.2,40.16,0.979308522455878,8,2015-08-26,"2015-August"
"20",100,93.23,61,0.979367258647473,8,2015-08-27,"2015-August"
"21",84,120.59,29.76,0.979425994839067,8,2015-08-28,"2015-August"
"22",109,111.86,18.35,0.979484731030662,8,2015-08-29,"2015-August"
"24",101,105.02,51.49,0.979543467222256,8,2015-08-30,"2015-August"
"25",115,89.87,31.3,0.979602203413851,8,2015-08-31,"2015-August"
"155",100,105,18,0.979660939605445,9,2015-09-01,"2015-September"
"166",128,65.27,42.97,0.97971967579704,9,2015-09-02,"2015-September"
"177",155,85.92,42.58,0.979778411988634,9,2015-09-03,"2015-September"
"179",192,100.04,21.88,0.979837148180229,9,2015-09-04,"2015-September"
"180",240,81.17,60.42,0.979895884371824,9,2015-09-05,"2015-September"
"181",152,88.97,16.45,0.979954620563418,9,2015-09-06,"2015-September"
"182",133,101.66,30.83,0.980013356755013,9,2015-09-07,"2015-September"
"183",104,93.75,32.69,0.980072092946607,9,2015-09-08,"2015-September"
"184",201,88.23,31.84,0.980130829138202,9,2015-09-09,"2015-September"
"156",139,96.65,53.96,0.980189565329796,9,2015-09-10,"2015-September"
"157",212,88.28,37.26,0.980248301521391,9,2015-09-11,"2015-September"
"158",191,71.5,46.6,0.980307037712985,9,2015-09-12,"2015-September"
"159",65,96.59,21.54,0.98036577390458,9,2015-09-13,"2015-September"
"160",149,87.59,24.16,0.980424510096174,9,2015-09-14,"2015-September"
"161",121,85.17,33.88,0.980483246287769,9,2015-09-15,"2015-September"
"162",170,83.23,30,0.980541982479364,9,2015-09-16,"2015-September"
"163",331,65.28,58.61,0.980600718670958,9,2015-09-17,"2015-September"
"164",340,101.58,59.71,0.980659454862553,9,2015-09-18,"2015-September"
"165",195,85.45,38.97,0.980718191054147,9,2015-09-19,"2015-September"
"167",129,93.69,32.56,0.980776927245742,9,2015-09-20,"2015-September"
"168",226,81.73,34.96,0.980835663437336,9,2015-09-21,"2015-September"
"169",101,103.34,13.86,0.980894399628931,9,2015-09-22,"2015-September"
"170",159,103.27,28.3,0.980953135820525,9,2015-09-23,"2015-September"
"171",216,118.14,55.56,0.98101187201212,9,2015-09-24,"2015-September"
"172",275,144.4,44.73,0.981070608203714,9,2015-09-25,"2015-September"
"173",198,128.47,57.58,0.981129344395309,9,2015-09-26,"2015-September"
"174",69,113.88,26.09,0.981188080586903,9,2015-09-27,"2015-September"
"175",107,97.73,40.19,0.981246816778498,9,2015-09-28,"2015-September"
"176",111,78.35,42.34,0.981305552970093,9,2015-09-29,"2015-September"
"178",205,107.43,49.27,0.981364289161687,9,2015-09-30,"2015-September"
"124",121,83.64,28.1,0.981423025353282,10,2015-10-01,"2015-October"
"135",204,94.6,10.29,0.981481761544876,10,2015-10-02,"2015-October"
"146",211,63.69,71.56,0.981540497736471,10,2015-10-03,"2015-October"
"149",185,78.52,37.84,0.981599233928065,10,2015-10-04,"2015-October"
"150",223,101.08,51.57,0.98165797011966,10,2015-10-05,"2015-October"
"151",179,83.35,38.55,0.981716706311254,10,2015-10-06,"2015-October"
"152",190,79.05,30.53,0.981775442502849,10,2015-10-07,"2015-October"
"153",164,67.34,48.78,0.981834178694443,10,2015-10-08,"2015-October"
"154",210,89.85,37.14,0.981892914886038,10,2015-10-09,"2015-October"
"125",250,67.4,47.6,0.981951651077633,10,2015-10-10,"2015-October"
"126",102,75.26,33.33,0.982010387269227,10,2015-10-11,"2015-October"
"127",208,74.4,22.6,0.982069123460822,10,2015-10-12,"2015-October"
"128",98,76.54,8.16,0.982127859652416,10,2015-10-13,"2015-October"
"129",73,70.45,5.48,0.982186595844011,10,2015-10-14,"2015-October"
"130",255,72.89,26.27,0.982245332035605,10,2015-10-15,"2015-October"
"131",356,95.32,62.36,0.9823040682272,10,2015-10-16,"2015-October"
"132",130,71.3,52.31,0.982362804418794,10,2015-10-17,"2015-October"
"133",116,82.64,15.52,0.982421540610389,10,2015-10-18,"2015-October"
"134",229,76.12,25.76,0.982480276801983,10,2015-10-19,"2015-October"
"136",109,96.6,13.76,0.982539012993578,10,2015-10-20,"2015-October"
"137",131,66.61,21.37,0.982597749185173,10,2015-10-21,"2015-October"
"138",88,74.54,13.64,0.982656485376767,10,2015-10-22,"2015-October"
"139",99,70.71,13.13,0.982715221568362,10,2015-10-23,"2015-October"
"140",160,85,61.88,0.982773957759956,10,2015-10-24,"2015-October"
"141",148,86.46,8.78,0.982832693951551,10,2015-10-25,"2015-October"
"142",97,69.38,37.11,0.982891430143145,10,2015-10-26,"2015-October"
"143",53,65.92,1.89,0.98295016633474,10,2015-10-27,"2015-October"
"144",141,83.76,5.67,0.983008902526334,10,2015-10-28,"2015-October"
"145",130,78.38,41.54,0.983067638717929,10,2015-10-29,"2015-October"
"147",106,70.59,35.85,0.983126374909523,10,2015-10-30,"2015-October"
"148",191,57.28,48.69,0.983185111101118,10,2015-10-31,"2015-October"
"94",57,59.75,14.04,0.983243847292713,11,2015-11-01,"2015-November"
"105",77,66.29,28.57,0.983302583484307,11,2015-11-02,"2015-November"
"116",70,52.33,7.14,0.983361319675902,11,2015-11-03,"2015-November"
"118",69,76.12,34.78,0.983420055867496,11,2015-11-04,"2015-November"
"119",60,67.66,8.33,0.983478792059091,11,2015-11-05,"2015-November"
"120",101,66.34,16.83,0.983537528250685,11,2015-11-06,"2015-November"
"121",111,56.59,27.93,0.98359626444228,11,2015-11-07,"2015-November"
"122",54,61.76,16.67,0.983655000633874,11,2015-11-08,"2015-November"
"123",82,62.11,45.12,0.983713736825469,11,2015-11-09,"2015-November"
"95",50,63.38,22,0.983772473017063,11,2015-11-10,"2015-November"
"96",72,58.61,29.17,0.983831209208658,11,2015-11-11,"2015-November"
"97",65,56.84,30.77,0.983889945400253,11,2015-11-12,"2015-November"
"98",59,73.79,52.54,0.983948681591847,11,2015-11-13,"2015-November"
"99",39,72.75,15.38,0.984007417783442,11,2015-11-14,"2015-November"
"100",28,58.18,14.29,0.984066153975036,11,2015-11-15,"2015-November"
"101",74,44.25,14.86,0.984124890166631,11,2015-11-16,"2015-November"
"102",81,58.18,8.64,0.984183626358225,11,2015-11-17,"2015-November"
"103",173,62.58,6.94,0.98424236254982,11,2015-11-18,"2015-November"
"104",55,62.12,20,0.984301098741414,11,2015-11-19,"2015-November"
"106",187,64.13,28.88,0.984359834933009,11,2015-11-20,"2015-November"
"107",86,47.23,5.81,0.984418571124604,11,2015-11-21,"2015-November"
"108",38,63.88,5.26,0.984477307316198,11,2015-11-22,"2015-November"
"109",211,68.04,33.65,0.984536043507793,11,2015-11-23,"2015-November"
"110",69,55.84,5.8,0.984594779699387,11,2015-11-24,"2015-November"
"111",47,53.61,10.64,0.984653515890982,11,2015-11-25,"2015-November"
"112",56,54.87,12.5,0.984712252082576,11,2015-11-26,"2015-November"
"113",132,54.85,13.64,0.984770988274171,11,2015-11-27,"2015-November"
"114",61,55.04,22.95,0.984829724465765,11,2015-11-28,"2015-November"
"115",20,67.54,25,0.98488846065736,11,2015-11-29,"2015-November"
"117",56,44.59,16.07,0.984947196848954,11,2015-11-30,"2015-November"
"32",57,53.74,21.05,0.985005933040549,12,2015-12-01,"2015-December"
"43",58,53.51,10.34,0.985064669232144,12,2015-12-02,"2015-December"
"54",83,59.05,28.92,0.985123405423738,12,2015-12-03,"2015-December"
"57",123,73.1,38.21,0.985182141615333,12,2015-12-04,"2015-December"
"58",448,69.27,43.08,0.985240877806927,12,2015-12-05,"2015-December"
"59",63,68.86,30.16,0.985299613998522,12,2015-12-06,"2015-December"
"60",27,49.37,14.81,0.985358350190116,12,2015-12-07,"2015-December"
"61",191,84.36,87.43,0.985417086381711,12,2015-12-08,"2015-December"
"62",152,76.86,55.26,0.985475822573305,12,2015-12-09,"2015-December"
"33",81,32.17,3.7,0.9855345587649,12,2015-12-10,"2015-December"
"34",50,48.14,14,0.985593294956495,12,2015-12-11,"2015-December"
"35",43,63.09,6.98,0.985652031148089,12,2015-12-12,"2015-December"
"36",19,52.15,21.05,0.985710767339684,12,2015-12-13,"2015-December"
"37",39,47.39,7.69,0.985769503531278,12,2015-12-14,"2015-December"
"38",29,55.1,10.34,0.985828239722873,12,2015-12-15,"2015-December"
"39",43,49.81,4.65,0.985886975914467,12,2015-12-16,"2015-December"
"40",49,49.23,12.24,0.985945712106062,12,2015-12-17,"2015-December"
"41",47,65.9,10.64,0.986004448297656,12,2015-12-18,"2015-December"
"42",89,68.64,39.33,0.986063184489251,12,2015-12-19,"2015-December"
"44",38,55.74,26.32,0.986121920680845,12,2015-12-20,"2015-December"
"45",47,56.45,19.15,0.98618065687244,12,2015-12-21,"2015-December"
"46",72,54.64,23.61,0.986239393064035,12,2015-12-22,"2015-December"
"47",63,66.58,14.29,0.986298129255629,12,2015-12-23,"2015-December"
"48",90,65.77,23.33,0.986356865447224,12,2015-12-24,"2015-December"
"49",68,62.69,41.18,0.986415601638818,12,2015-12-25,"2015-December"
"50",112,76.37,25,0.986474337830413,12,2015-12-26,"2015-December"
"51",123,79.02,32.52,0.986533074022007,12,2015-12-27,"2015-December"
"52",100,81.57,26,0.986591810213602,12,2015-12-28,"2015-December"
"53",155,88.03,34.84,0.986650546405196,12,2015-12-29,"2015-December"
"55",238,119.24,28.15,0.986709282596791,12,2015-12-30,"2015-December"
"56",123,116.19,30.08,0.986768018788385,12,2015-12-31,"2015-December"
"306",44,93.86,25,0.98682675497998,1,2016-01-01,"2016-January"
"317",183,83.66,34.97,0.986885491171575,1,2016-01-02,"2016-January"
"328",62,59.75,29.03,0.986944227363169,1,2016-01-03,"2016-January"
"331",77,63.81,14.29,0.987002963554764,1,2016-01-04,"2016-January"
"332",47,56.02,19.15,0.987061699746358,1,2016-01-05,"2016-January"
"333",49,66.65,10.2,0.987120435937953,1,2016-01-06,"2016-January"
"334",49,58.27,16.33,0.987179172129547,1,2016-01-07,"2016-January"
"335",59,58.88,20.34,0.987237908321142,1,2016-01-08,"2016-January"
"336",54,55.53,22.22,0.987296644512736,1,2016-01-09,"2016-January"
"307",46,58.7,15.22,0.987355380704331,1,2016-01-10,"2016-January"
"308",40,47.76,2.5,0.987414116895925,1,2016-01-11,"2016-January"
"309",69,54.96,21.74,0.98747285308752,1,2016-01-12,"2016-January"
"310",48,49.51,14.58,0.987531589279115,1,2016-01-13,"2016-January"
"311",96,55.8,18.75,0.987590325470709,1,2016-01-14,"2016-January"
"312",83,68.99,20.48,0.987649061662304,1,2016-01-15,"2016-January"
"313",67,64.4,20.9,0.987707797853898,1,2016-01-16,"2016-January"
"314",37,69.58,16.22,0.987766534045493,1,2016-01-17,"2016-January"
"315",60,54.68,18.33,0.987825270237087,1,2016-01-18,"2016-January"
"316",147,67.32,25.85,0.987884006428682,1,2016-01-19,"2016-January"
"318",64,59.12,12.5,0.987942742620276,1,2016-01-20,"2016-January"
"319",61,62.69,9.84,0.988001478811871,1,2016-01-21,"2016-January"
"320",134,71.3,63.43,0.988060215003465,1,2016-01-22,"2016-January"
"321",70,63.54,11.43,0.98811895119506,1,2016-01-23,"2016-January"
"322",36,67.55,13.89,0.988177687386655,1,2016-01-24,"2016-January"
"323",79,63.41,18.99,0.988236423578249,1,2016-01-25,"2016-January"
"324",69,53.47,13.04,0.988295159769844,1,2016-01-26,"2016-January"
"325",155,65.4,54.84,0.988353895961438,1,2016-01-27,"2016-January"
"326",86,65.3,22.09,0.988412632153033,1,2016-01-28,"2016-January"
"327",86,69.74,22.09,0.988471368344627,1,2016-01-29,"2016-January"
"329",58,65.55,18.97,0.988530104536222,1,2016-01-30,"2016-January"
"330",33,63.36,9.09,0.988588840727816,1,2016-01-31,"2016-January"
"277",62,60.62,22.58,0.988647576919411,2,2016-02-01,"2016-February"
"288",67,60.12,25.37,0.988706313111005,2,2016-02-02,"2016-February"
"299",84,64.3,16.67,0.9887650493026,2,2016-02-03,"2016-February"
"300",105,60.13,18.1,0.988823785494195,2,2016-02-04,"2016-February"
"301",126,69.58,20.63,0.988882521685789,2,2016-02-05,"2016-February"
"302",219,68.93,24.2,0.988941257877384,2,2016-02-06,"2016-February"
"303",129,74.8,31.78,0.988999994068978,2,2016-02-07,"2016-February"
"304",86,74.87,17.44,0.989058730260573,2,2016-02-08,"2016-February"
"305",75,64.03,28,0.989117466452167,2,2016-02-09,"2016-February"
"278",79,66.07,17.72,0.989176202643762,2,2016-02-10,"2016-February"
"279",104,62.21,30.77,0.989234938835356,2,2016-02-11,"2016-February"
"280",293,70.95,47.44,0.989293675026951,2,2016-02-12,"2016-February"
"281",183,77.25,16.94,0.989352411218545,2,2016-02-13,"2016-February"
"282",104,79.47,26.92,0.98941114741014,2,2016-02-14,"2016-February"
"283",88,59.13,17.05,0.989469883601735,2,2016-02-15,"2016-February"
"284",78,62.22,10.26,0.989528619793329,2,2016-02-16,"2016-February"
"285",286,71.26,74.13,0.989587355984924,2,2016-02-17,"2016-February"
"286",83,74.06,15.66,0.989646092176518,2,2016-02-18,"2016-February"
"287",247,80.13,37.65,0.989704828368113,2,2016-02-19,"2016-February"
"289",107,68.91,17.76,0.989763564559707,2,2016-02-20,"2016-February"
"290",106,74.97,51.89,0.989822300751302,2,2016-02-21,"2016-February"
"291",108,67.45,15.74,0.989881036942896,2,2016-02-22,"2016-February"
"292",68,68.57,14.71,0.989939773134491,2,2016-02-23,"2016-February"
"293",104,69.13,33.65,0.989998509326085,2,2016-02-24,"2016-February"
"294",154,69.93,38.96,0.99005724551768,2,2016-02-25,"2016-February"
"295",245,70.18,51.02,0.990115981709275,2,2016-02-26,"2016-February"
"296",211,70.47,20.85,0.990174717900869,2,2016-02-27,"2016-February"
"297",194,66.82,65.98,0.990233454092464,2,2016-02-28,"2016-February"
"298",96,72.96,40.62,0.990292190284058,2,2016-02-29,"2016-February"
"398",123,65.27,24.39,0.990350926475653,3,2016-03-01,"2016-March"
"409",160,66.49,26.88,0.990409662667247,3,2016-03-02,"2016-March"
"420",109,78.77,24.77,0.990468398858842,3,2016-03-03,"2016-March"
