"","Year","Month","Reservation_number","ave_price","cancled_rate","Time","t","Group"
"3",2015,"July",2776,97.83,45.35,15.5833333333333,"2015-July",2015
"1",2015,"August",3889,105.92,41.09,15.6666666666667,"2015-August",2015
"6",2015,"September",5114,94.82,40.95,15.75,"2015-September",2015
"5",2015,"October",4957,78.9,34.94,15.8333333333333,"2015-October",2015
"4",2015,"November",2340,60.58,20.77,15.9166666666667,"2015-November",2015
"2",2015,"December",2920,74.08,33.32,16,"2015-December",2015
"11",2016,"January",2248,64.77,24.78,16.0833333333333,"2016-January",2016
"10",2016,"February",3891,70.1,34.36,16.1666666666667,"2016-February",2016
"14",2016,"March",4824,79.07,30.62,16.25,"2016-March",2016
"7",2016,"April",5428,88.92,37.97,16.3333333333333,"2016-April",2016
"15",2016,"May",5478,96.4,34.96,16.4166666666667,"2016-May",2016
"13",2016,"June",5292,106.98,39.61,16.5,"2016-June",2016
"12",2016,"July",4572,125.48,32.79,16.5833333333333,"2016-July",2016
"8",2016,"August",5063,142.89,36.05,16.6666666666667,"2016-August",2016
"18",2016,"September",5394,114.75,37.49,16.75,"2016-September",2016
"17",2016,"October",6203,95.11,40.53,16.8333333333333,"2016-October",2016
"16",2016,"November",4454,80.74,36.73,16.9166666666667,"2016-November",2016
"9",2016,"December",3860,86.37,36.22,17,"2016-December",2016
"22",2017,"January",3681,73.78,33.96,17.0833333333333,"2017-January",2017
"21",2017,"February",4177,76.82,32.54,17.1666666666667,"2017-February",2017
"25",2017,"March",4970,82.24,33.64,17.25,"2017-March",2017
"19",2017,"April",5661,111.37,43.51,17.3333333333333,"2017-April",2017
"26",2017,"May",6313,119.37,43.75,17.4166666666667,"2017-May",2017
"24",2017,"June",5647,125.76,43.19,17.5,"2017-June",2017
"23",2017,"July",5313,143.04,37.34,17.5833333333333,"2017-July",2017
"20",2017,"August",4925,164.25,36.87,17.6666666666667,"2017-August",2017
