"","Year","Week","Reservation_number","ave_price","cancled_rate","Time","cancled.x","cancled.y","t","Group"
"1",2015,27,359,88.98,38.44,15.5094339622642,138,138,"2015-27",2015
"2",2015,28,485,92.68,41.44,15.5283018867925,201,201,"2015-28",2015
"3",2015,29,693,100.62,45.45,15.5471698113208,315,315,"2015-29",2015
"4",2015,30,770,97.16,51.3,15.5660377358491,395,395,"2015-30",2015
"5",2015,31,579,113.43,44.91,15.5849056603774,260,260,"2015-31",2015
"6",2015,32,852,96.84,44.13,15.6037735849057,376,376,"2015-32",2015
"7",2015,33,1168,107.43,44.86,15.622641509434,524,524,"2015-33",2015
"8",2015,34,770,115.14,33.77,15.6415094339623,260,260,"2015-34",2015
"9",2015,35,773,101.97,38.81,15.6603773584906,300,300,"2015-35",2015
"10",2015,36,1031,89.04,40.16,15.6792452830189,414,414,"2015-36",2015
"11",2015,37,1132,88.63,35.95,15.6981132075472,407,407,"2015-37",2015
"12",2015,38,1371,85.04,44.86,15.7169811320755,615,615,"2015-38",2015
"13",2015,39,1304,113.56,41.18,15.7358490566038,537,537,"2015-39",2015
"14",2015,40,1028,89.39,40.37,15.7547169811321,415,415,"2015-40",2015
"15",2015,41,1401,81.2,42.04,15.7735849056604,589,589,"2015-41",2015
"16",2015,42,1222,79.86,36.82,15.7924528301887,450,450,"2015-42",2015
"17",2015,43,932,78.79,26.18,15.811320754717,244,244,"2015-43",2015
"18",2015,44,866,73.26,28.06,15.8301886792453,243,243,"2015-44",2015
"19",2015,45,545,63.24,20.55,15.8490566037736,112,112,"2015-45",2015
"20",2015,46,421,63.42,32.07,15.8679245283019,135,135,"2015-46",2015
"21",2015,47,684,58.35,15.2,15.8867924528302,104,104,"2015-47",2015
"22",2015,48,614,59.98,19.71,15.9056603773585,121,121,"2015-48",2015
"23",2015,49,845,65.02,35.03,15.9245283018868,296,296,"2015-49",2015
"24",2015,50,607,67.86,47.28,15.9433962264151,287,287,"2015-50",2015
"25",2015,51,315,57.77,18.41,15.9622641509434,58,58,"2015-51",2015
"26",2015,52,490,64.56,24.9,15.9811320754717,122,122,"2015-52",2015
"27",2015,53,739,100.4,30.31,16,224,224,"2015-53",2015
"28",2016,1,227,85.63,33.04,16.0188679245283,75,75,"2016-1",2016
"39",2016,2,397,60.06,18.89,16.0377358490566,75,75,"2016-2",2016
"50",2016,3,449,58.3,17.59,16.0566037735849,79,79,"2016-3",2016
"61",2016,4,573,65.2,28.27,16.0754716981132,162,162,"2016-4",2016
"72",2016,5,569,64.47,28.65,16.0943396226415,163,163,"2016-5",2016
"77",2016,6,696,65.31,20.98,16.1132075471698,146,146,"2016-6",2016
"78",2016,7,949,71.13,30.87,16.1320754716981,293,293,"2016-7",2016
"79",2016,8,993,72.52,39.07,16.1509433962264,388,388,"2016-8",2016
"80",2016,9,996,70.2,34.74,16.1698113207547,346,346,"2016-9",2016
"29",2016,10,1027,70.81,37.2,16.188679245283,382,382,"2016-10",2016
"30",2016,11,899,69.1,20.24,16.2075471698113,182,182,"2016-11",2016
"31",2016,12,1050,71.28,28.38,16.2264150943396,298,298,"2016-12",2016
"32",2016,13,1341,95.97,41.09,16.2452830188679,551,551,"2016-13",2016
"33",2016,14,1003,81.5,29.01,16.2641509433962,291,291,"2016-14",2016
"34",2016,15,1270,82.22,33.15,16.2830188679245,421,421,"2016-15",2016
"35",2016,16,1176,91.94,38.69,16.3018867924528,455,455,"2016-16",2016
"36",2016,17,1339,89.36,38.09,16.3207547169811,510,510,"2016-17",2016
"37",2016,18,1437,91.68,42.8,16.3396226415094,615,615,"2016-18",2016
"38",2016,19,1129,93.7,32.95,16.3584905660377,372,372,"2016-19",2016
"40",2016,20,1263,93.9,37.45,16.377358490566,473,473,"2016-20",2016
"41",2016,21,1452,93.91,36.02,16.3962264150943,523,523,"2016-21",2016
"42",2016,22,1060,104.01,33.11,16.4150943396226,351,351,"2016-22",2016
"43",2016,23,1317,101.42,37.74,16.4339622641509,497,497,"2016-23",2016
