"","days","cancle","total","cancle_pre"
"1",0,430,6345,6.78
"2",1,321,3460,9.28
"3",2,213,2069,10.29
"4",3,182,1816,10.02
"5",4,176,1715,10.26
"6",5,206,1565,13.16
"7",6,202,1445,13.98
"8",7,172,1331,12.92
"9",8,223,1138,19.6
"10",9,219,992,22.08
"11",10,222,976,22.75
"12",11,221,1055,20.95
"13",12,278,1079,25.76
"14",13,168,821,20.46
"15",14,215,965,22.28
"16",15,252,839,30.04
"17",16,234,942,24.84
"18",17,234,881,26.56
"19",18,261,826,31.6
"20",19,261,839,31.11
"21",20,218,750,29.07
"22",21,191,678,28.17
"23",22,215,707,30.41
"24",23,212,643,32.97
"25",24,178,665,26.77
"26",25,209,653,32.01
"27",26,235,671,35.02
"28",27,245,649,37.75
"29",28,339,820,41.34
"30",29,210,712,29.49
"31",30,243,659,36.87
"32",31,189,685,27.59
"33",32,228,690,33.04
"34",33,234,643,36.39
"35",34,330,828,39.86
"36",35,212,655,32.37
"37",36,197,663,29.71
"38",37,319,673,47.4
"39",38,279,575,48.52
"40",39,228,673,33.88
"41",40,231,722,31.99
"42",41,195,607,32.13
"43",42,159,464,34.27
"44",43,156,479,32.57
"45",44,253,633,39.97
"46",45,201,537,37.43
"47",46,180,495,36.36
"48",47,155,568,27.29
"49",48,134,506,26.48
"50",49,187,479,39.04
"51",50,211,527,40.04
"52",51,124,366,33.88
"53",52,191,435,43.91
"54",53,156,530,29.43
"55",54,214,472,45.34
"56",55,180,575,31.3
"57",56,354,676,52.37
"58",57,141,457,30.85
"59",58,152,401,37.91
"60",59,215,520,41.35
"61",60,169,436,38.76
"62",61,223,513,43.47
"63",62,161,414,38.89
"64",63,127,398,31.91
"65",64,138,423,32.62
"66",65,195,448,43.53
"67",66,187,466,40.13
"68",67,180,439,41
"69",68,263,564,46.63
"70",69,226,558,40.5
"71",70,123,384,32.03
"72",71,200,423,47.28
"73",72,190,531,35.78
"74",73,151,402,37.56
"75",74,236,519,45.47
"76",75,177,425,41.65
"77",76,124,351,35.33
"78",77,136,357,38.1
"79",78,170,384,44.27
"80",79,137,357,38.38
"81",80,155,440,35.23
"82",81,135,360,37.5
"83",82,161,393,40.97
"84",83,105,378,27.78
"85",84,84,345,24.35
"86",85,141,344,40.99
"87",86,191,461,41.43
"88",87,254,450,56.44
"89",88,195,448,43.53
"90",89,123,315,39.05
"91",90,79,293,26.96
"92",91,136,334,40.72
"93",92,248,441,56.24
"94",93,164,350,46.86
"95",94,128,333,38.44
"96",95,178,392,45.41
"97",96,137,368,37.23
"98",97,157,356,44.1
"99",98,157,420,37.38
"100",99,217,430,50.47
"101",100,157,347,45.24
"102",101,158,350,45.14
"103",102,202,458,44.1
"104",103,198,377,52.52
"105",104,236,413,57.14
"106",105,237,412,57.52
"107",106,150,255,58.82
"108",107,81,265,30.57
"109",108,108,267,40.45
"110",109,132,297,44.44
"111",110,115,297,38.72
"112",111,154,333,46.25
"113",112,164,423,38.77
"114",113,232,373,62.2
"115",114,98,245,40
"116",115,168,420,40
"117",116,146,395,36.96
"118",117,119,297,40.07
"119",118,83,292,28.42
"120",119,74,242,30.58
"121",120,111,252,44.05
"122",121,112,264,42.42
"123",122,85,288,29.51
"124",123,112,276,40.58
"125",124,127,308,41.23
"126",125,107,247,43.32
"127",126,106,250,42.4
"128",127,94,231,40.69
"129",128,123,304,40.46
"130",129,151,297,50.84
"131",130,146,297,49.16
"132",131,134,300,44.67
"133",132,78,259,30.12
"134",133,78,265,29.43
"135",134,187,384,48.7
"136",135,147,286,51.4
"137",136,85,238,35.71
"138",137,128,286,44.76
"139",138,92,257,35.8
"140",139,111,221,50.23
"141",140,134,336,39.88
"142",141,109,274,39.78
"143",142,124,259,47.88
"144",143,156,301,51.83
"145",144,103,219,47.03
"146",145,93,242,38.43
"147",146,105,242,43.39
"148",147,105,218,48.17
"149",148,170,278,61.15
"150",149,107,195,54.87
"151",150,166,322,51.55
"152",151,152,365,41.64
"153",152,100,312,32.05
"154",153,106,242,43.8
"155",154,49,179,27.37
"156",155,132,256,51.56
"157",156,161,306,52.61
"158",157,113,245,46.12
"159",158,169,324,52.16
"160",159,84,295,28.47
"161",160,79,207,38.16
"162",161,139,230,60.43
"163",162,154,303,50.83
"164",163,103,217,47.47
"165",164,165,358,46.09
"166",165,97,242,40.08
"167",166,174,297,58.59
"168",167,75,191,39.27
"169",168,166,322,51.55
"170",169,149,337,44.21
"171",170,65,175,37.14
"172",171,61,210,29.05
"173",172,108,251,43.03
"174",173,99,215,46.05
"175",174,126,263,47.91
"176",175,153,280,54.64
"177",176,62,160,38.75
"178",177,118,252,46.83
"179",178,214,325,65.85
"180",179,117,232,50.43
"181",180,111,270,41.11
"182",181,154,295,52.2
"183",182,75,155,48.39
"184",183,148,293,50.51
"185",184,102,202,50.5
"186",185,76,210,36.19
"187",186,138,247,55.87
"188",187,62,131,47.33
"189",188,161,251,64.14
"190",189,90,219,41.1
"191",190,63,160,39.38
"192",191,47,174,27.01
"193",192,76,293,25.94
"194",193,89,189,47.09
"195",194,38,120,31.67
"196",195,94,187,50.27
"197",196,55,140,39.29
"198",197,70,174,40.23
"199",198,140,250,56
"200",199,113,212,53.3
"201",200,72,143,50.35
"202",201,69,145,47.59
"203",202,41,110,37.27
"204",203,67,195,34.36
"205",204,64,159,40.25
"206",205,89,154,57.79
"207",206,63,146,43.15
"208",207,85,212,40.09
"209",208,67,191,35.08
"210",209,42,99,42.42
"211",210,113,204,55.39
"212",211,150,246,60.98
"213",212,104,198,52.53
"214",213,143,303,47.19
"215",214,64,158,40.51
"216",215,68,209,32.54
"217",216,44,87,50.57
"218",217,38,101,37.62
"219",218,55,105,52.38
"220",219,132,250,52.8
"221",220,41,149,27.52
"222",221,93,223,41.7
"223",222,69,151,45.7
"224",223,61,139,43.88
"225",224,53,128,41.41
"226",225,38,145,26.21
"227",226,102,190,53.68
"228",227,40,91,43.96
"229",228,32,76,42.11
"230",229,61,96,63.54
"231",230,48,108,44.44
"232",231,40,92,43.48
"233",232,35,83,42.17
"234",233,93,149,62.42
"235",234,28,69,40.58
"236",235,39,77,50.65
"237",236,47,150,31.33
"238",237,49,112,43.75
"239",238,88,126,69.84
"240",239,82,154,53.25
"241",240,97,145,66.9
"242",241,45,117,38.46
"243",242,27,53,50.94
"244",243,58,104,55.77
"245",244,106,149,71.14
"246",245,158,200,79
"247",246,41,86,47.67
"248",247,113,206,54.85
"249",248,29,82,35.37
"250",249,25,53,47.17
"251",250,54,91,59.34
"252",251,63,126,50
"253",252,24,74,32.43
"254",253,49,105,46.67
"255",254,36,91,39.56
"256",255,25,59,42.37
"257",256,26,164,15.85
"258",257,31,132,23.48
"259",258,103,145,71.03
"260",259,131,170,77.06
"261",260,70,98,71.43
"262",261,56,105,53.33
"263",262,87,126,69.05
"264",263,51,102,50
"265",264,31,66,46.97
"266",265,118,230,51.3
"267",266,45,76,59.21
"268",267,107,124,86.29
"269",268,46,78,58.97
"270",269,45,83,54.22
"271",270,61,115,53.04
"272",271,25,91,27.47
"273",272,87,143,60.84
"274",273,87,160,54.38
"275",274,92,125,73.6
"276",275,134,164,81.71
"277",276,95,149,63.76
"278",277,253,318,79.56
"279",278,111,138,80.43
"280",279,150,165,90.91
"281",280,56,79,70.89
"282",281,103,122,84.43
"283",282,35,79,44.3
"284",283,85,123,69.11
"285",284,22,32,68.75
"286",285,35,68,51.47
"287",286,121,189,64.02
"288",287,30,136,22.06
"289",288,71,110,64.55
"290",289,50,92,54.35
